event_id,n_files,n_defects,p1,p3,r5,mrr,triage_s,method
d4j-Closure-34,5,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-35,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-36,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-37,4,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-38,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-39,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-40,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-41,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-42,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-43,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-44,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-45,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-46,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-47,7,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-48,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-49,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-50,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-51,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-52,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-53,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-54,5,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-55,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-56,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-57,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-58,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-59,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-60,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-61,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-62,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-64,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-65,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-66,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-67,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-68,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-69,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-70,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-71,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-72,6,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-73,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-74,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-75,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-76,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-77,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-78,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-79,8,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-80,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-81,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-82,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-83,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-84,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-85,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-86,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-87,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-88,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-89,8,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-90,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-91,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-92,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-94,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-95,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-96,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-97,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-98,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-99,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-100,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-101,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-102,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-103,6,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-104,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-105,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-106,8,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-107,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-108,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-109,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-110,7,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-111,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-112,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-113,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-114,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-115,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-116,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-117,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-118,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-119,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-120,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-121,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-122,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-123,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-124,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-125,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-126,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-127,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-128,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-129,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-130,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-131,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-132,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-133,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-134,5,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-135,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-136,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-137,7,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-138,6,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-139,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-140,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-141,5,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-142,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-143,6,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-144,4,4,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-145,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-146,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-147,7,5,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-148,6,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-149,6,4,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-150,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-151,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-152,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-153,4,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-154,6,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-155,8,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-156,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-157,4,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-158,7,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-159,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-160,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-161,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-162,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-163,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-164,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-165,6,4,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-166,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-167,7,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-168,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-169,7,5,1.0,0.6666666666666666,0.8,1.0,3.0,pre_only
d4j-Closure-170,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-171,8,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-172,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-173,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Closure-174,3,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Closure-175,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Closure-176,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-1,6,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Codec-2,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-3,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-4,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-5,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-6,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-7,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-8,3,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Codec-9,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-10,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-11,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-12,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-13,3,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Codec-14,4,3,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Codec-15,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-16,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-17,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Codec-18,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-1,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-2,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-3,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-4,6,1,0.0,0.3333333333333333,1.0,0.5,6.0,pre_only
d4j-Collections-5,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-6,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-7,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-8,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-9,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-10,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-11,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-12,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-13,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-14,8,1,0.0,0.3333333333333333,1.0,0.5,6.0,pre_only
d4j-Collections-15,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-16,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-17,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-18,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-19,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-20,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-21,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-22,7,1,0.0,0.3333333333333333,1.0,0.5,6.0,pre_only
d4j-Collections-23,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-24,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-25,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-26,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-27,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Collections-28,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-1,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-2,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-3,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-4,7,4,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Compress-5,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-6,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-7,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-8,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-9,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-10,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-11,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-12,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-13,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-14,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-15,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-16,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-17,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-18,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-19,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-20,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-21,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-22,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-23,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-24,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-25,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-26,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-27,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-28,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-29,6,5,1.0,1.0,1.0,1.0,3.0,pre_only
d4j-Compress-30,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-31,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-32,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-33,6,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Compress-34,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-35,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-36,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-37,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-38,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-39,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-40,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-41,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-42,6,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
d4j-Compress-43,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-44,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-45,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-46,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Compress-47,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-1,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-2,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-3,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-4,4,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-5,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-6,7,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-7,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-8,8,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-9,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-10,6,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-11,3,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-12,5,1,1.0,0.3333333333333333,1.0,1.0,3.0,pre_only
d4j-Csv-13,7,2,1.0,0.6666666666666666,1.0,1.0,3.0,pre_only
